タイトル	名詞,*,*,*,*,タイトル,タイトル
安い	形容詞,*,*,連体形,形容詞型,安い,ヤスイ
分	名詞,*,*,*,*,分,ブン
だけ	助詞,副助詞,*,*,*,だけ,ダケ
安かっ	形容詞,*,促音便,連用形,形容詞型,安い,ヤスカッ
たり	助詞,副助詞,*,*,*,たり,タリ
と	助詞,格助詞,*,*,*,と,ト
か	助詞,副助詞,*,*,*,か,カ
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助詞,接続助詞,*,*,*,て,テ
EOS
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
買い物	名詞,*,*,*,*,買い物,カイモノ
が	助詞,格助詞,*,*,*,が,ガ
楽しかっ	形容詞,*,促音便,連用形,形容詞型,楽しい,タノシカッ
た	助動詞,*,*,終止形,*,た,タ
です	助動詞,*,*,終止形,*,です,デス
EOS
で	接続詞,*,*,*,*,で,デ
その	連体詞,*,*,*,*,其の,ソノ
返済	名詞,*,*,*,*,返済,ヘンサイ
に	助詞,格助詞,*,*,*,に,ニ
今	名詞,*,*,*,*,今,イマ
追わ	動詞,*,*,未然形,ワア行五段,追う,オワ
れ	助動詞,*,*,連用形,*,れる,レ
て	助詞,接続助詞,*,*,*,て,テ
い	動詞,*,*,連用形,ア行上一段,居る,イ
て	助詞,接続助詞,*,*,*,て,テ
EOS
結局	副詞,*,*,*,*,結局,ケッキョク
EOS
ヨーロッパ	名詞,固有名詞,*,*,*,ヨーロッパ,ヨーロッパ
に	助詞,格助詞,*,*,*,に,ニ
卒業	名詞,*,*,*,*,卒業,ソツギョー
旅行	名詞,*,*,*,*,旅行,リョコー
に	助詞,格助詞,*,*,*,に,ニ
行こ	動詞,*,*,未然形,カ行五段,行く,イコ
う	助動詞,*,*,終止形,*,う,ー
と	助詞,格助詞,*,*,*,と,ト
思っ	動詞,*,促音便,連用形,ワア行五段,思う,オモッ
て	助動詞,*,*,連用形,*,てる,テ
た	助動詞,*,*,連体形,*,た,タ
の	助詞,準体助詞,*,*,*,の,ノ
も	助詞,副助詞,*,*,*,も,モ
行け	動詞,*,*,未然形,カ行下一段,行ける,イケ
なく	助動詞,*,*,連用形,*,ない,ナク
なっ	動詞,*,促音便,連用形,ラ行五段,成る,ナッ
て	助詞,接続助詞,*,*,*,て,テ
しまっ	動詞,*,促音便,連用形,ワア行五段,仕舞う,シマッ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
の	助詞,格助詞,*,*,*,の,ノ
何	名詞,代名詞,*,*,*,何,ナン
か	助詞,副助詞,*,*,*,か,カ
その	連体詞,*,*,*,*,其の,ソノ
雰囲気	名詞,*,*,*,*,雰囲気,フンイキ
って	助詞,副助詞,*,*,*,って,ッテ
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
の	助詞,準体助詞,*,*,*,の,ノ
が	助詞,格助詞,*,*,*,が,ガ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
何	名詞,代名詞,*,*,*,何,ナン
か	助詞,副助詞,*,*,*,か,カ
買っ	動詞,*,促音便,連用形,ワア行五段,買う,カッ
て	助詞,接続助詞,*,*,*,て,テ
しまう	動詞,*,*,連体形,ワア行五段,仕舞う,シマウ
雰囲気	名詞,*,*,*,*,雰囲気,フンイキ
って	助詞,副助詞,*,*,*,って,ッテ
言う	動詞,*,*,終止形,ワア行五段,言う,ユー
か	助詞,終助詞,*,*,*,か,カ
EOS
町	名詞,*,*,*,*,町,マチ
全体	名詞,*,*,*,*,全体,ゼンタイ
が	助詞,格助詞,*,*,*,が,ガ
こう	副詞,*,*,*,*,こう,コー
ディズニー	名詞,固有名詞,*,*,*,ディズニー,ディズニー
ランド	名詞,*,*,*,*,ランド,ランド
の	助詞,格助詞,*,*,*,の,ノ
よう	形状詞,*,*,*,*,様,ヨー
な	助動詞,*,*,連体形,*,だ,ナ
感じ	名詞,*,*,*,*,感じ,カンジ
で	助動詞,*,*,連用形,*,だ,デ
EOS
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
本当	名詞,*,*,*,*,本当,ホント
うきうき	副詞,*,*,*,*,浮き浮き,ウキウキ
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助詞,接続助詞,*,*,*,て,テ
しまっ	動詞,*,促音便,連用形,ワア行五段,仕舞う,シマッ
て	助詞,接続助詞,*,*,*,て,テ
EOS
気持ち	名詞,*,*,*,*,気持ち,キモチ
が	助詞,格助詞,*,*,*,が,ガ
こう	副詞,*,*,*,*,こう,コー
高ぶっ	動詞,*,促音便,連用形,ラ行五段,高ぶる,タカブッ
て	助詞,接続助詞,*,*,*,て,テ
しまう	動詞,*,*,連体形,ワア行五段,仕舞う,シマウ
よう	形状詞,*,*,*,*,様,ヨー
な	助動詞,*,*,連体形,*,だ,ナ
EOS
町	名詞,*,*,*,*,町,マチ
で	助動詞,*,*,連用形,*,だ,デ
乗り	名詞,*,*,*,*,乗り,ノリ
で	助詞,格助詞,*,*,*,で,デ
買い物	名詞,*,*,*,*,買い物,カイモノ
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助詞,接続助詞,*,*,*,て,テ
しまっ	動詞,*,促音便,連用形,ワア行五段,仕舞う,シマッ
た	助動詞,*,*,連体形,*,た,タ
よう	形状詞,*,*,*,*,様,ヨー
な	助動詞,*,*,連体形,*,だ,ナ
感じ	名詞,*,*,*,*,感じ,カンジ
が	助詞,格助詞,*,*,*,が,ガ
し	動詞,*,*,連用形,サ行変格,為る,シ
ます	助動詞,*,*,終止形,*,ます,マス
EOS
んで	接続詞,*,*,*,*,で,ンデ
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
から	助詞,格助詞,*,*,*,から,カラ
また	副詞,*,*,*,*,又,マタ
車	名詞,*,*,*,*,車,クルマ
で	助詞,格助詞,*,*,*,で,デ
レンタカー	名詞,*,*,*,*,レンタカー,レンタカー
を	助詞,格助詞,*,*,*,を,オ
借り	動詞,*,*,連用形,ラ行上一段,借りる,カリ
て	助詞,接続助詞,*,*,*,て,テ
グランドキャニオン	名詞,固有名詞,*,*,*,グランドキャニオン,グランドキャニオン
に	助詞,格助詞,*,*,*,に,ニ
行っ	動詞,*,促音便,連用形,カ行五段,行く,イッ
て	助詞,接続助詞,*,*,*,て,テ
き	動詞,*,*,連用形,カ行変格,来る,キ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
から	助詞,格助詞,*,*,*,から,カラ
車	名詞,*,*,*,*,車,クルマ
で	助詞,格助詞,*,*,*,で,デ
六	名詞,数詞,*,*,*,六,ロク
時間	名詞,接尾辞,*,*,*,時間,ジカン
くらい	助詞,副助詞,*,*,*,くらい,クライ
離れ	動詞,*,*,連用形,ラ行下一段,離れる,ハナレ
て	助動詞,*,*,連用形,*,てる,テ
て	助詞,接続助詞,*,*,*,て,テ
EOS
しかも	接続詞,*,*,*,*,然も,シカモ
ひたすら	副詞,*,*,*,*,只管,ヒタスラ
一	名詞,数詞,*,*,*,一,イッ
本	名詞,接尾辞,*,*,*,本,ポン
道	名詞,*,*,*,*,道,ミチ
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
た	助動詞,*,*,連体形,*,た,タ
の	助詞,準体助詞,*,*,*,の,ノ
で	助動詞,*,*,連用形,*,だ,デ
運転	名詞,*,*,*,*,運転,ウンテン
手	名詞,接尾辞,*,*,*,手,シュ
は	助詞,係助詞,*,*,*,は,ワ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
眠	形容詞,*,*,語幹,形容詞型,眠い,ネム
そう	副詞,*,*,*,*,そう,ソー
で	助動詞,*,*,連用形,*,だ,デ
EOS
大変	形状詞,*,*,*,*,大変,タイヘン
そう	形状詞,*,*,*,*,そう,ソー
でし	助動詞,*,*,連用形,*,です,デシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
グランドキャニオン	名詞,固有名詞,*,*,*,グランドキャニオン,グランドキャニオン
て	助詞,副助詞,*,*,*,って,テ
こう	副詞,*,*,*,*,こう,コー
テレビ	名詞,*,*,*,*,テレビ,テレビ
と	助詞,格助詞,*,*,*,と,ト
か	助詞,副助詞,*,*,*,か,カ
で	助詞,格助詞,*,*,*,で,デ
見	動詞,*,*,連用形,マ行上一段,見る,ミ
過ぎ	動詞,*,*,連用形,ガ行上一段,過ぎる,スギ
て	助動詞,*,*,連用形,*,てる,テ
て	助詞,接続助詞,*,*,*,て,テ
EOS
自分	名詞,*,*,*,*,自分,ジブン
の	助詞,格助詞,*,*,*,の,ノ
中	名詞,*,*,*,*,中,ナカ
で	助詞,格助詞,*,*,*,で,デ
イメージ	名詞,*,*,*,*,イメージ,イメージ
が	助詞,格助詞,*,*,*,が,ガ
固まっ	動詞,*,促音便,連用形,ラ行五段,固まる,カタマッ
て	助詞,接続助詞,*,*,*,て,テ
い	動詞,*,*,連用形,ア行上一段,居る,イ
て	助詞,接続助詞,*,*,*,て,テ
しまっ	動詞,*,促音便,連用形,ワア行五段,仕舞う,シマッ
た	助動詞,*,*,連体形,*,た,タ
の	助詞,準体助詞,*,*,*,の,ノ
で	助動詞,*,*,連用形,*,だ,デ
EOS
い	動詞,*,*,連用形,ア行上一段,居る,イ
た	助動詞,*,*,連体形,*,た,タ
の	助詞,準体助詞,*,*,*,の,ノ
で	助動詞,*,*,連用形,*,だ,デ
EOS
こう	副詞,*,*,*,*,こう,コー
はっきり	副詞,*,*,*,*,はっきり,ハッキリ
言っ	動詞,*,促音便,連用形,ワア行五段,言う,イッ
て	助詞,接続助詞,*,*,*,て,テ
EOS
見	動詞,*,*,連用形,マ行上一段,見る,ミ
た	助動詞,*,*,連体形,*,た,タ
時	名詞,*,*,*,*,時,トキ
に	助詞,格助詞,*,*,*,に,ニ
て	助詞,副助詞,*,*,*,って,テ
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
感じ	名詞,*,*,*,*,感じ,カンジ
が	助詞,格助詞,*,*,*,が,ガ
し	動詞,*,*,連用形,サ行変格,為る,シ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
って	助詞,副助詞,*,*,*,って,ッテ
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
の	助詞,準体助詞,*,*,*,の,ノ
は	助詞,係助詞,*,*,*,は,ワ
グランドキャニオン	名詞,固有名詞,*,*,*,グランドキャニオン,グランドキャニオン
EOS
は	助詞,係助詞,*,*,*,は,ワ
下	名詞,*,*,*,*,下,シタ
から	助詞,格助詞,*,*,*,から,カラ
眺める	動詞,*,*,連体形,マ行下一段,眺める,ナガメル
ん	助詞,準体助詞,*,*,*,の,ン
じゃ	助動詞,*,融合,連用形,*,だ,ジャ
なく	形容詞,*,*,連用形,形容詞型,無い,ナク
て	助詞,接続助詞,*,*,*,て,テ
上	名詞,*,*,*,*,上,ウエ
から	助詞,格助詞,*,*,*,から,カラ
覗き込む	動詞,*,*,連体形,マ行五段,覗き込む,ノゾキコム
感じ	名詞,*,*,*,*,感じ,カンジ
な	助動詞,*,*,連体形,*,だ,ナ
の	助詞,準体助詞,*,*,*,の,ノ
で	助動詞,*,*,連用形,*,だ,デ
EOS
あんまり	副詞,*,*,*,*,余り,アンマリ
こう	副詞,*,*,*,*,こう,コー
威圧	名詞,*,*,*,*,威圧,イアツ
感	名詞,*,*,*,*,感,カン
みたい	形状詞,*,*,*,*,みたい,ミタイ
の	助詞,準体助詞,*,*,*,の,ノ
が	助詞,格助詞,*,*,*,が,ガ
なく	形容詞,*,*,連用形,形容詞型,無い,ナク
て	助詞,接続助詞,*,*,*,て,テ
EOS
ヘリコプター	名詞,*,*,*,*,ヘリコプター,ヘリコプター
と	助詞,格助詞,*,*,*,と,ト
か	助詞,副助詞,*,*,*,か,カ
で	助詞,格助詞,*,*,*,で,デ
谷	名詞,*,*,*,*,谷,タニ
の	助詞,格助詞,*,*,*,の,ノ
中	名詞,*,*,*,*,中,ナカ
に	助詞,格助詞,*,*,*,に,ニ
こう	副詞,*,*,*,*,こう,コー
入っ	動詞,*,促音便,連用形,ラ行五段,入る,ハイッ
て	助詞,接続助詞,*,*,*,て,テ
見る	動詞,*,*,連体形,マ行上一段,見る,ミル
人	名詞,*,*,*,*,人,ヒト
に	助詞,格助詞,*,*,*,に,ニ
とっ	動詞,*,促音便,連用形,ラ行五段,取る,トッ
て	助詞,接続助詞,*,*,*,て,テ
は	助詞,係助詞,*,*,*,は,ワ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
EOS
いい	形容詞,*,*,連体形,形容詞型,良い,イー
ん	助詞,準体助詞,*,*,*,の,ン
だ	助動詞,*,*,終止形,*,だ,ダ
と	助詞,格助詞,*,*,*,と,ト
思う	動詞,*,*,連体形,ワア行五段,思う,オモー
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
上	名詞,*,*,*,*,上,ウエ
から	助詞,格助詞,*,*,*,から,カラ
眺める	動詞,*,*,連体形,マ行下一段,眺める,ナガメル
だけ	助詞,副助詞,*,*,*,だけ,ダケ
だ	助動詞,*,*,終止形,*,だ,ダ
と	助詞,格助詞,*,*,*,と,ト
確か	形状詞,*,*,*,*,確か,タシカ
に	助動詞,*,*,連用形,*,だ,ニ
飲み込ま	動詞,*,*,未然形,マ行五段,飲み込む,ノミコマ
れ	助動詞,*,*,連用形,*,れる,レ
そう	形状詞,*,*,*,*,そう,ソー
に	助動詞,*,*,連用形,*,だ,ニ
は	助詞,係助詞,*,*,*,は,ワ
なる	動詞,*,*,連体形,ラ行五段,成る,ナル
ん	助詞,準体助詞,*,*,*,の,ン
だ	助動詞,*,*,終止形,*,だ,ダ
けど	助詞,接続助詞,*,*,*,けれど,ケド
EOS
ちょっと	副詞,*,*,*,*,一寸,チョット
期待	名詞,*,*,*,*,期待,キタイ
外れ	名詞,接尾辞,*,*,*,外れ,ハズレ
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
た	助動詞,*,*,終止形,*,た,タ
って	助詞,副助詞,*,*,*,って,ッテ
いう	動詞,*,*,連体形,ワア行五段,言う,ユウ
の	助詞,準体助詞,*,*,*,の,ノ
が	助詞,格助詞,*,*,*,が,ガ
あたし	名詞,代名詞,*,*,*,私,アタシ
達	名詞,接尾辞,*,*,*,達,タチ
六	名詞,数詞,*,*,*,六,ロク
人	名詞,接尾辞,*,*,*,人,ニン
の	助詞,格助詞,*,*,*,の,ノ
感じ	名詞,*,*,*,*,感じ,カンジ
でし	助動詞,*,*,連用形,*,です,デシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
とにかく	副詞,*,*,*,*,兎に角,トニカク
寒く	形容詞,*,*,連用形,形容詞型,寒い,サムク
て	助詞,接続助詞,*,*,*,て,テ
EOS
で	接続詞,*,*,*,*,で,デ
遠かっ	形容詞,*,促音便,連用形,形容詞型,遠い,トーカッ
た	助動詞,*,*,終止形,*,た,タ
し	助詞,接続助詞,*,*,*,し,シ
EOS
って	助詞,副助詞,*,*,*,って,ッテ
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
感じ	名詞,*,*,*,*,感じ,カンジ
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
そこ	名詞,代名詞,*,*,*,其処,ソコ
から	助詞,格助詞,*,*,*,から,カラ
また	副詞,*,*,*,*,又,マタ
車	名詞,*,*,*,*,車,クルマ
で	助詞,格助詞,*,*,*,で,デ
四	名詞,数詞,*,*,*,四,ヨ
時間	名詞,接尾辞,*,*,*,時間,ジカン
ぐらい	助詞,副助詞,*,*,*,くらい,グライ
EOS
行っ	動詞,*,促音便,連用形,カ行五段,行く,イッ
た	助動詞,*,*,連体形,*,た,タ
ところ	名詞,*,*,*,*,所,トコロ
に	助詞,格助詞,*,*,*,に,ニ
モニュメントバレー	名詞,固有名詞,*,*,*,モニュメントバレー,モニュメントバレー
と	助詞,格助詞,*,*,*,と,ト
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
の	助詞,準体助詞,*,*,*,の,ノ
が	助詞,格助詞,*,*,*,が,ガ
あっ	動詞,*,促音便,連用形,ラ行五段,有る,アッ
て	助詞,接続助詞,*,*,*,て,テ
EOS
そこ	名詞,代名詞,*,*,*,其処,ソコ
を	助詞,格助詞,*,*,*,を,オ
見	動詞,*,*,連用形,マ行上一段,見る,ミ
に	助詞,格助詞,*,*,*,に,ニ
行き	動詞,*,*,連用形,カ行五段,行く,イキ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
そこ	名詞,代名詞,*,*,*,其処,ソコ
は	助詞,係助詞,*,*,*,は,ワ
何	名詞,代名詞,*,*,*,何,ナン
か	助詞,副助詞,*,*,*,か,カ
インディアン	名詞,*,*,*,*,インディアン,インディアン
が	助詞,格助詞,*,*,*,が,ガ
住ん	動詞,*,撥音便,連用形,マ行五段,住む,スン
でる	助動詞,*,*,連体形,*,てる,デル
ところ	名詞,*,*,*,*,所,トコロ
で	助動詞,*,*,連用形,*,だ,デ
あっ	動詞,*,促音便,連用形,ラ行五段,有る,アッ
て	助詞,接続助詞,*,*,*,て,テ
EOS
後	名詞,*,*,*,*,後,アト
映画	名詞,*,*,*,*,映画,エーガ
の	助詞,格助詞,*,*,*,の,ノ
撮影	名詞,*,*,*,*,撮影,サツエー
で	助詞,格助詞,*,*,*,で,デ
も	助詞,副助詞,*,*,*,も,モ
使わ	動詞,*,*,未然形,ワア行五段,使う,ツカワ
れ	助動詞,*,*,連用形,*,れる,レ
て	助動詞,*,*,連用形,*,てる,テ
た	助動詞,*,*,連体形,*,た,タ
ところ	名詞,*,*,*,*,所,トコロ
な	助動詞,*,*,連体形,*,だ,ナ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
変	形状詞,*,*,*,*,変,ヘン
な	助動詞,*,*,連体形,*,だ,ナ
形	名詞,*,*,*,*,形,カタチ
の	助詞,格助詞,*,*,*,の,ノ
岩	名詞,*,*,*,*,岩,イワ
が	助詞,格助詞,*,*,*,が,ガ
ぽこぽこ	副詞,*,*,*,*,ぽこぽこ,ポコポコ
と	助詞,格助詞,*,*,*,と,ト
本当	名詞,*,*,*,*,本当,ホント
に	助詞,格助詞,*,*,*,に,ニ
作っ	動詞,*,促音便,連用形,ラ行五段,作る,ツクッ
た	助動詞,*,*,連体形,*,た,タ
よう	形状詞,*,*,*,*,様,ヨー
に	助動詞,*,*,連用形,*,だ,ニ
置い	動詞,*,イ音便,連用形,カ行五段,置く,オイ
て	助詞,接続助詞,*,*,*,て,テ
ある	動詞,*,*,連体形,ラ行五段,有る,アル
ところ	名詞,*,*,*,*,所,トコロ
な	助動詞,*,*,連体形,*,だ,ナ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
空	名詞,*,*,*,*,空,ソラ
が	助詞,格助詞,*,*,*,が,ガ
青く	形容詞,*,*,連用形,形容詞型,青い,アオク
て	助詞,接続助詞,*,*,*,て,テ
EOS
その	連体詞,*,*,*,*,其の,ソノ
岩	名詞,*,*,*,*,岩,イワ
が	助詞,格助詞,*,*,*,が,ガ
黄色	名詞,*,*,*,*,黄色,キイロ
で	助詞,格助詞,*,*,*,で,デ
その	連体詞,*,*,*,*,其の,ソノ
コントラスト	名詞,*,*,*,*,コントラスト,コントラスト
が	助詞,格助詞,*,*,*,が,ガ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
奇麗	形状詞,*,*,*,*,奇麗,キレー
で	助動詞,*,*,連用形,*,だ,デ
EOS
期待	名詞,*,*,*,*,期待,キタイ
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助動詞,*,*,未然形,*,てる,テ
なかっ	助動詞,*,促音便,連用形,*,ない,ナカッ
た	助動詞,*,*,連体形,*,た,タ
分	名詞,*,*,*,*,分,ブン
か	助詞,副助詞,*,*,*,か,カ
も	助詞,副助詞,*,*,*,も,モ
しれ	動詞,*,*,未然形,ラ行下一段,知れる,シレ
ない	助動詞,*,*,連体形,*,ない,ナイ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
モニュメントバレー	名詞,固有名詞,*,*,*,モニュメントバレー,モニュメントバレー
の	助詞,格助詞,*,*,*,の,ノ
方	名詞,*,*,*,*,方,ホー
が	助詞,格助詞,*,*,*,が,ガ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
EOS
気	名詞,*,*,*,*,気,キ
に	助詞,格助詞,*,*,*,に,ニ
入り	動詞,*,*,連用形,ラ行五段,入る,イリ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
その	連体詞,*,*,*,*,其の,ソノ
モニュメントバレー	名詞,固有名詞,*,*,*,モニュメントバレー,モニュメントバレー
の	助詞,格助詞,*,*,*,の,ノ
近く	名詞,*,*,*,*,近く,チカク
の	助詞,格助詞,*,*,*,の,ノ
インディアンジュエリー	名詞,*,*,*,*,インディアンジュエリー,インディアンジュエリー
を	助詞,格助詞,*,*,*,を,オ
売っ	動詞,*,促音便,連用形,ラ行五段,売る,ウッ
てる	助動詞,*,*,連体形,*,てる,テル
よう	形状詞,*,*,*,*,様,ヨー
な	助動詞,*,*,連体形,*,だ,ナ
お	接頭辞,*,*,*,*,御,オ
店	名詞,*,*,*,*,店,ミセ
で	助動詞,*,*,連用形,*,だ,デ
EOS
シルバー	名詞,*,*,*,*,シルバー,シルバー
の	助詞,格助詞,*,*,*,の,ノ
製品	名詞,*,*,*,*,製品,セーヒン
を	助詞,格助詞,*,*,*,を,オ
買っ	動詞,*,促音便,連用形,ワア行五段,買う,カッ
たり	助詞,副助詞,*,*,*,たり,タリ
と	助詞,格助詞,*,*,*,と,ト
か	助詞,副助詞,*,*,*,か,カ
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助詞,接続助詞,*,*,*,て,テ
EOS
で	接続詞,*,*,*,*,で,デ
本当	名詞,*,*,*,*,本当,ホント
に	助詞,格助詞,*,*,*,に,ニ
インディアン	名詞,*,*,*,*,インディアン,インディアン
みたい	形状詞,*,*,*,*,みたい,ミタイ
な	助動詞,*,*,連体形,*,だ,ナ
人	名詞,*,*,*,*,人,ヒト
達	名詞,接尾辞,*,*,*,達,タチ
が	助詞,格助詞,*,*,*,が,ガ
何	名詞,代名詞,*,*,*,何,ナン
か	助詞,副助詞,*,*,*,か,カ
英語	名詞,*,*,*,*,英語,エーゴ
じゃ	助動詞,*,融合,連用形,*,だ,ジャ
ない	形容詞,*,*,終止形,形容詞型,無い,ナイ
言葉	名詞,*,*,*,*,言葉,コトバ
を	助詞,格助詞,*,*,*,を,オ
喋っ	動詞,*,促音便,連用形,ラ行五段,喋る,シャベッ
てる	助動詞,*,*,連体形,*,てる,テル
の	助詞,準体助詞,*,*,*,の,ノ
と	助詞,格助詞,*,*,*,と,ト
か	助詞,副助詞,*,*,*,か,カ
を	助詞,格助詞,*,*,*,を,オ
聞い	動詞,*,イ音便,連用形,カ行五段,聞く,キー
て	助詞,接続助詞,*,*,*,て,テ
EOS
やっぱ	副詞,*,*,*,*,矢張り,ヤッパ
アメリカ	名詞,固有名詞,*,*,*,アメリカ,アメリカ
って	助詞,副助詞,*,*,*,って,ッテ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
広い	形容詞,*,*,連体形,形容詞型,広い,ヒロイ
ん	助詞,準体助詞,*,*,*,の,ン
だ	助動詞,*,*,終止形,*,だ,ダ
な	助詞,終助詞,*,*,*,な,ナ
と	助詞,格助詞,*,*,*,と,ト
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
風	形状詞,*,*,*,*,風,フー
に	助動詞,*,*,連用形,*,だ,ニ
EOS
思い	動詞,*,*,連用形,ワア行五段,思う,オモイ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
グランドキャニオン	名詞,固有名詞,*,*,*,グランドキャニオン,グランドキャニオン
と	助詞,格助詞,*,*,*,と,ト
モニュメントバレー	名詞,固有名詞,*,*,*,モニュメントバレー,モニュメントバレー
から	助詞,格助詞,*,*,*,から,カラ
また	副詞,*,*,*,*,又,マタ
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
に	助詞,格助詞,*,*,*,に,ニ
戻っ	動詞,*,促音便,連用形,ラ行五段,戻る,モドッ
て	助詞,接続助詞,*,*,*,て,テ
EOS
で	接続詞,*,*,*,*,で,デ
カウント	名詞,*,*,*,*,カウント,カウント
ダウン	名詞,*,*,*,*,ダウン,ダウン
を	助詞,格助詞,*,*,*,を,オ
し	動詞,*,*,連用形,サ行変格,為る,シ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
て	助詞,接続助詞,*,*,*,て,テ
ミレニアム	名詞,*,*,*,*,ミレニアム,ミレニアム
の	助詞,格助詞,*,*,*,の,ノ
その	連体詞,*,*,*,*,其の,ソノ
境	名詞,固有名詞,*,*,*,境,サカイ
の	助詞,格助詞,*,*,*,の,ノ
カウント	名詞,*,*,*,*,カウント,カウント
ダウン	名詞,*,*,*,*,ダウン,ダウン
て	助詞,副助詞,*,*,*,って,テ
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
こと	名詞,*,*,*,*,事,コト
で	助動詞,*,*,連用形,*,だ,デ
EOS
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
EOS
ホテル	名詞,*,*,*,*,ホテル,ホテル
で	助詞,格助詞,*,*,*,で,デ
の	助詞,格助詞,*,*,*,の,ノ
警備	名詞,*,*,*,*,警備,ケービ
も	助詞,副助詞,*,*,*,も,モ
厳重	形状詞,*,*,*,*,厳重,ゲンジュー
に	助動詞,*,*,連用形,*,だ,ニ
なっ	動詞,*,促音便,連用形,ラ行五段,成る,ナッ
て	助詞,接続助詞,*,*,*,て,テ
い	動詞,*,*,連用形,ア行上一段,居る,イ
て	助詞,接続助詞,*,*,*,て,テ
EOS
日本	名詞,固有名詞,*,*,*,日本,ニホン
人	名詞,接尾辞,*,*,*,人,ジン
は	助詞,係助詞,*,*,*,は,ワ
こう	副詞,*,*,*,*,こう,コー
ただ	名詞,*,*,*,*,只,タダ
で	助詞,格助詞,*,*,*,で,デ
さえ	助詞,副助詞,*,*,*,さえ,サエ
若く	形容詞,*,*,連用形,形容詞型,若い,ワカク
見	動詞,*,*,未然形,マ行上一段,見る,ミ
られ	助動詞,*,*,連用形,*,られる,ラレ
EOS
て	接続詞,*,*,*,*,で,テ
こう	副詞,*,*,*,*,こう,コー
